"gnd_id","author","title","date"
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Rat Krespel",1818
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Seltsame Leiden ein…",1818
"http://d-nb.info/gnd/118504177","Achim von Arnim","Der tolle Invalide …",1818
"http://d-nb.info/gnd/118515055","Clemens Brentano","Die Chronika des fa…",1818
"http://d-nb.info/gnd/118521101","H. Clauren","Das Raubschloß",1818
"http://d-nb.info/gnd/11899848X","Ernst Schulze","Die bezauberte Rose",1818
"http://d-nb.info/gnd/11899848X","Ernst Schulze","Cäcilie",1818
"http://d-nb.info/gnd/118760866","Treviranus Gottfrie…","Biologie, oder Phil…",1818
"http://d-nb.info/gnd/100373267","Mayer Johann Tobias","Vollständiger Lehrb…",1818
"http://d-nb.info/gnd/100373267","Mayer Johann Tobias","Vollständiger Lehrb…",1818
"http://d-nb.info/gnd/118552465","Hoffmann E. T. A.","Nachtstücke",1817
"http://d-nb.info/gnd/118552465","Hoffmann E. T. A.","Nachtstücke",1817
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Das Majorat",1817
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Ignaz Denner",1817
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Das Sanctus",1817
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Die Jesuiterkirche …",1817
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Der Sandmann",1817
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Das öde Haus",1817
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Das Gelübde",1817
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Das fremde Kind",1817
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Das steinerne Herz",1817
"http://d-nb.info/gnd/118504177","Achim von Arnim","Frau von Saverne",1817
"http://d-nb.info/gnd/118504177","Achim von Arnim","Die Kronenwächter",1817
"http://d-nb.info/gnd/118504177","Achim von Arnim","Die Kronenwächter",1817
"http://d-nb.info/gnd/118518399","Pedro Calderón de l…","Drei Vergeltungen i…",1817
"http://d-nb.info/gnd/118518399","Pedro Calderón de l…","Der Richter von Zal…",1817
"http://d-nb.info/gnd/118518399","Pedro Calderón de l…","Das laute Geheimnis",1817
"http://d-nb.info/gnd/118518399","Pedro Calderón de l…","Der wunderthätige M…",1817
"http://d-nb.info/gnd/118518399","Pedro Calderón de l…","Der Verborgne und d…",1817
"http://d-nb.info/gnd/118518399","Pedro Calderón de l…","Das Leben ein Traum",1817
"http://d-nb.info/gnd/118518399","Pedro Calderón de l…","Die Dame Kobold",1817
"http://d-nb.info/gnd/118534556","Friedrich Baron de …","Die wunderbaren Beg…",1817
"http://d-nb.info/gnd/118515055","Clemens Brentano","Die mehreren Wehmül…",1817
"http://d-nb.info/gnd/118515055","Clemens Brentano","Die drei Nüsse",1817
"http://d-nb.info/gnd/118759523","Christoph von Schmid","Wie Heinrich von Ei…",1817
"http://d-nb.info/gnd/118542192","Franz Grillparzer","Die Ahnfrau",1817
"http://d-nb.info/gnd/118540238","Johann Wolfgang Goe…","Satyros",1817
"http://d-nb.info/gnd/118540238","Goethe","Sankt-Rochus-Fest z…",1817
"http://d-nb.info/gnd/118637266","Heinrich Zschokke","Das Goldmacherdorf",1817
"http://d-nb.info/gnd/118930583","Klüber Johann Ludwig","Öffentliches Recht …",1817
"http://d-nb.info/gnd/118561545","Justinus Kerner","Der rasende Sandler",1817
"http://d-nb.info/gnd/118557211","Jean Paul","Politische Fastenpr…",1817
"http://d-nb.info/gnd/118584790","Müller Adam Heinrich","Versuche einer neue…",1816
"http://d-nb.info/gnd/118552465","Hoffmann E. T. A.","Die Elixiere des Te…",1816
